FECHA;MOTIVO;DIVISION;PROVEEDOR;CANTIDAD;COSTO POR UNIDAD;COSTO TOTAL;SEMANA;MES;AÑO
22/4/2026;ENTRADA;DEPORTIVA;YIWU LYFHON INTL TRADE CO LTD;2;L155.43;L310.86;SEM-17;ABRIL;2026
22/4/2026;SALIDA;HOGAR;NEMO TRADERS SA;144;L18.12;L2,609.82;SEM-17;ABRIL;2026
22/4/2026;ENTRADA;HOGAR;NEMO TRADERS SA;144;L18.12;L2,609.82;SEM-17;ABRIL;2026
23/4/2026;SALIDA;INTERIOR;LAS VEGAS NEVADA, S.A.;2400;L18.93;L45,438.61;SEM-17;ABRIL;2026
23/4/2026;ENTRADA;INTERIOR;LAS VEGAS NEVADA, S.A.;2400;L21.97;L52,737.96;SEM-17;ABRIL;2026
23/4/2026;ENTRADA;VENTAS MAYOREO;YIWU LYFHON INTL TRADE CO LTD;20;L30.80;L616.00;SEM-17;ABRIL;2026
23/4/2026;SALIDA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;400;L107.87;L43,147.39;SEM-17;ABRIL;2026
23/4/2026;ENTRADA;HOGAR;YIWU LYFHON INTL TRADE CO LTD;400;L128.27;L51,307.12;SEM-17;ABRIL;2026
23/4/2026;SALIDA;ROPA;STYLOMODA IN FASHION INT, S.A.;10;L169.86;L1,698.58;SEM-17;ABRIL;2026
23/4/2026;ENTRADA;ROPA;STYLOMODA IN FASHION INT, S.A.;10;L169.86;L1,698.56;SEM-17;ABRIL;2026
28/4/2026;SALIDA;ROPA;MUESTRAS;48;L222.37;L10,673.76;SEM-18;ABRIL;2026
24/4/2026;SALIDA;ROPA;W GROUP WORLDWIDE S.A.;47;L218.51;L10,270.14;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;MUESTRAS;48;L218.52;L10,489.05;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;MUESTRAS;72;L226.22;L16,287.84;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;MUESTRAS;48;L227.88;L10,938.45;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;W GROUP WORLDWIDE S.A.;47;L227.87;L10,709.89;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;W GROUP WORLDWIDE S.A.;47;L227.88;L10,710.57;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;W GROUP WORLDWIDE S.A.;47;L227.88;L10,710.43;SEM-17;ABRIL;2026
24/4/2026;SALIDA;ROPA;MUESTRAS;82;L227.87;L18,685.34;SEM-17;ABRIL;2026
