SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;SANTA RITA, COPAN -DS;DS VERANO;;;1;2
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ACCESORIOS;;;1;2
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS INTERIOR;;;2;292
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;;;4;459
15;12/4/2025;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS VERANO;;;1;2
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS HOGAR;3;117;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS ROPA;2;86;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;CATACAMAS-DS;DS HOGAR;1;60;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS HOGAR;1;31;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS ROPA;1;60;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;EL NEGRITO, YORO-DS;DS HOGAR;1;33;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;EL NEGRITO, YORO-DS;DS ROPA;1;6;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS HOGAR;1;40;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS HOGAR;1;30;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS ROPA;2;61;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS ROPA;4;201;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA LIBERTAD-DS;DS HOGAR;3;95;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA LIBERTAD-DS;DS ROPA;2;105;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA INTIBUCA;DS ROPA;1;323;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA, TOCOA;DS ROPA;2;162;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-EL PARAISO;DS ROPA;1;40;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-LA LABOR OCOTEPEQUE;DS HOGAR;1;15;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-PEÑA BLANCA;DS HOGAR;1;29;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-PEÑA BLANCA;DS ROPA;2;66;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SABA;DS HOGAR;1;37;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SABA;DS ROPA;2;470;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS HOGAR;3;82;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-SAN ESTEBAN;DS ROPA;1;20;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS HOGAR;1;53;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TALANGA ;DS ROPA;1;122;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA-TRINIDAD;DS ROPA;2;36;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS HOGAR;1;65;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;LEPAERA-DS;DS ROPA;3;100;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;MEGACARPA EL PROGRESO-DS;DS HOGAR;1;15;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS HOGAR;3;79;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;OLANCHITO-DS;DS ROPA;4;416;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;RIO LINDO, LA  VITRINA;DS ROPA;1;200;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;SAN FRANCISCO-DS;DS HOGAR;3;43;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;SAN FRANCISCO-DS;DS ROPA;1;23;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;SAN MARCOS OCOTEPEQUE, LA VITR;DS ROPA;1;145;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;SANTA RITA, COPAN -DS;DS ROPA;1;40;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;SONAGUERA-DS;DS ROPA;1;30;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS HOGAR;1;16;;
15;6/4/2026;SEGUNDA;BODEGA DANILOS ;YORO-DS;DS ROPA;1;54;;
15;7/4/2026;SEGUNDA;BODEGA DANILOS ;CAMPAMENTO OLANCHO-DS;DS HOGAR;1;23;;
15;7/4/2026;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS HOGAR;3;98;;
15;7/4/2026;SEGUNDA;BODEGA DANILOS ;CUCUYAGUA-DS;DS ROPA;1;108;;
15;7/4/2026;SEGUNDA;BODEGA DANILOS ;GRACIAS, LEMPIRA-DS;DS HOGAR;2;42;;
15;7/4/2026;SEGUNDA;BODEGA DANILOS ;GUAYMACA-DS;DS HOGAR;1;65;;
15;7/4/2026;SEGUNDA;BODEGA DANILOS ;LA CEIBA-DS;DS ROPA;1;51;;
15;7/4/2026;SEGUNDA;BODEGA DANILOS ;LA VITRINA INTIBUCA;DS ROPA;2;263;;
