FECHA;PRODUCCION;META/TIEMPO;ÁREA;SEMANA;MES;DIVISION2;AÑO
15/4/2026;103;66.67;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
15/4/2026;103;111.11;PRODUCCION;SEM 16;ABRIL; HOGAR ;2026
14/4/2026;120;87.96;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
14/4/2026;480;490.74;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
14/4/2026;432;393.52;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
14/4/2026;480;393.52;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
14/4/2026;480;439.81;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
14/4/2026;540;628.33;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
14/4/2026;120;97.22;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
14/4/2026;120;101.85;PRODUCCION;SEM 16;ABRIL; CUIDADO PERSONAL ;2026
11/4/2026;120;120.37;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
11/4/2026;180;494.89;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
11/4/2026;60;90.67;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
11/4/2026;120;238;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
11/4/2026;240;162.44;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
11/4/2026;480;309.78;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
11/4/2026;240;196.44;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;432;415.56;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;384;226.67;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;138;151.11;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;60;37.78;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;216;185.19;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;40;29.63;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;40;22.22;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;40;22.22;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;40;22.22;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
10/4/2026;40;66.67;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;60;55.56;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;60;55.56;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;60;103.7;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;60;40.74;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;60;66.67;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
9/4/2026;95;110.19;PRODUCCION;SEM 15;ABRIL; HOGAR ;2026
8/4/2026;300;340;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
8/4/2026;360;374.07;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
8/4/2026;360;425.93;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
8/4/2026;360;388.89;PRODUCCION;SEM 15;ABRIL; ACCESORIOS ;2026
7/4/2026;600;533.33;PRODUCCION;SEM 15;ABRIL; BELLEZA ;2026
7/4/2026;1764;1,866.67;PRODUCCION;SEM 15;ABRIL; BELLEZA ;2026
27/4/2026;192;138.89;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
27/4/2026;42;46.3;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
27/4/2026;144;148.15;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
27/4/2026;72;88.89;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
27/4/2026;60;68.52;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
27/4/2026;50;66.67;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
27/4/2026;60;53.7;PRODUCCION;SEM 18;ABRIL; HOGAR ;2026
26/4/2026;720;925.93;PRODUCCION;SEM 18;ABRIL; INTERIOR DETALLE ;2026
